imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
90095,Subway,1985-04-10,2000000,390659,104,6.3,89,8.066663,4919.0,10656.0,Drama|Thriller,Luc Besson,11.0,4.0,15.0,N
76299,The Last Wave,1977-01-01,810000,1258000,106,6.8,38,3.099222,4927.0,72277.0,Fantasy|Thriller,Peter Weir,33.0,0.0,33.0,N
80661,Dressed to Kill,1980-06-25,6500000,31899000,105,6.8,159,9.3806,4932.0,11033.0,Thriller,Brian De Palma,133.0,12.0,145.0,N
80745,Flash Gordon,1980-09-01,35000000,27107960,111,6.1,237,6.346979,4941.0,3604.0,Action|Adventure|Sci-Fi,Mike Hodges,159.0,4.0,163.0,0421201
76070,The Gauntlet,1977-12-21,5500000,26414658,109,6.6,121,6.389326,4947.0,17689.0,Action,Clint Eastwood,19.0,1.0,20.0,N
85862,Lone Wolf McQuade,1983-04-14,5000000,12232628,107,5.5,67,5.839893,4950.0,14854.0,Action,Steve Carver,23.0,0.0,23.0,N
86383,Sudden Impact,1983-12-07,22000000,67642693,117,6.5,210,9.737907,4957.0,10650.0,Thriller,Clint Eastwood,257.0,5.0,262.0,0094963|0066999|0070355|0074483
159273,Behind Enemy Lines,2001-11-17,40000000,91753202,106,6.0,464,11.185625,4958.0,8007.0,Action|Drama,John Moore,16.0,9.0,25.0,0497329|1208647|2992552
240772,Ocean's Eleven,2001-12-07,85000000,450717150,116,7.2,3857,12.114932,4963.0,161.0,Thriller,Steven Soderbergh,274.0,41.0,315.0,0349903|0496806|5164214|0054135
211915,Amélie,2001-04-25,10000000,173921954,122,7.8,3403,12.879381,4973.0,194.0,Comedy,Jean-Pierre Jeunet,152.0,34.0,186.0,N
277371,Not Another Teen Movie,2001-12-07,16000000,66468332,89,5.5,444,9.101896,4974.0,11397.0,Comedy,Joel Gallen,47.0,85.0,132.0,0876236
259711,Vanilla Sky,2001-12-10,68000000,203388341,136,6.5,1100,10.071057,4975.0,1903.0,Sci-Fi|Thriller,Cameron Crowe,70.0,53.0,123.0,0125659
265666,The Royal Tenenbaums,2001-10-05,21000000,71441250,110,7.4,1317,9.707542,4979.0,9428.0,Comedy|Drama,Wes Anderson,81.0,36.0,117.0,N
88103,Sheena,1984-08-17,25000000,5778353,117,5.0,22,4.11214,4985.0,24264.0,Action|Adventure|Fantasy,John Guillermin,15.0,1.0,16.0,N
84684,Silent Rage,1982-04-02,4500000,10500000,103,5.0,22,1.808605,4986.0,27150.0,Action|Sci-Fi,Michael Miller,12.0,2.0,14.0,4168940|1474783
