imdb_id,title,year,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
3707106,By the Sea,2015,10.0,3.727746,122,5.4,159,12.61223,143239,314385.0,Drama,Angelina Jolie,9,0,9,N,-0.00038055425056,8.934347739620471e-05
1754656,The Little Prince,2015,64.0,97.57125,92,7.6,771,11.376954,143245,309809.0,Animation|Fantasy,Mark Osborne,13,0,13,N,2.732141644493721e-05,-0.0003638206280528
0451279,Wonder Woman,2017,149.0,820.5804469999998,141,7.2,5025,294.337037,143355,297762.0,Action|Adventure|Fantasy,Patty Jenkins,235,11,246,7126948|1372280|1485380,-0.0002785734626317,-0.0003962114546549
4287320,The Circle,2017,18.0,20.497844,110,5.4,1015,88.439243,143365,339988.0,Drama|Sci-Fi|Thriller,James Ponsoldt,12,3,15,N,0.0001614031773366,-0.0001061184176467
0490215,Silence,2016,46.0,23.737523,161,7.0,754,14.169379999999999,143367,68730.0,Drama|Thriller,Martin Scorsese,26,1,27,N,-0.0003447782478306,-0.0001594904571477
3682448,Bridge of Spies,2015,40.0,165.478348,141,7.2,2633,13.707888,143385,296098.0,Drama|Thriller,Steven Spielberg,43,11,54,0338234,-0.00022125177319999998,-0.0002786034338776
0419663,Cruel World,2005,2.0,0.016344,88,4.8,6,0.262437,143707,44250.0,Comedy|Horror|Thriller,Kelsey T. Howard,0,0,0,N,0.0003862003633342,8.025180699403644e-05
0475290,"Hail, Caesar!",2016,22.0,63.64765600000001,106,5.7,1338,11.241366000000001,143859,270487.0,Comedy,Joel Coen,19,57,76,N,-0.0004168704114934,-9.666100614959311e-05
4176826,Look Who's Back,2015,3.196621,25.513752,116,6.8,462,6.7046589999999995,143969,318917.0,Comedy,David Wnendt,3,27,30,6892340,0.0002924711675005,-0.0002848090101519
3791302,Standing Tall,2015,5.0,0.026144,119,7.3,149,4.2066550000000005,144206,329819.0,Comedy|Drama,Emmanuelle Bercot,0,0,0,N,-7.483412519751507e-05,0.0002856899870275
2106741,The Bullet Vanishes,2012,12.0,0.117629,108,6.0,21,1.6754060000000002,144438,129850.0,Action,Law Chi-Leung,0,0,0,N,0.000132488728114,0.0003326644821035
1051904,Goosebumps,2015,58.0,158.16278799999995,103,6.2,1022,12.365292,144620,257445.0,Adventure|Comedy|Horror,Rob Letterman,26,14,40,5664636,-0.0001329607702205,-0.0002578892922006
3862750,The Perfect Guy,2015,12.0,60.273173,100,5.6,162,7.607052,144714,304372.0,Drama|Thriller,David M. Rosenthal,0,0,0,N,0.0001593074549605,5.327822123792556e-06
3164256,Rock the Kasbah,2015,15.0,3.020664,100,5.2,102,10.394389,144716,253414.0,Comedy,Barry Levinson,5,3,8,N,0.0002779549189633,0.00029663711423900003
3181776,Momentum,2015,20.0,0.133332,96,5.9,168,7.895442,144760,346808.0,Action|Thriller,Stephen S. Campanelli,1,3,4,N,-1.7152486209486458e-05,-0.0001006119749171
4374460,Aferim!,2015,1.379375,0.105097,108,7.5,28,2.214179,144784,319993.0,Drama,Radu Jude,1,1,2,N,0.0002306850064045,0.0003401532100623
2473510,Paranormal Activity: The Ghost Dimension,2015,10.0,78.096553,88,5.0,435,9.185701,144982,146301.0,Horror|Thriller,Gregory Plotkin,16,5,21,1051598|1179904|1536044|1778304|2109184,0.0003448365745199,0.0001227355665188
