imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
0107943,The Remains of the Day,1993,11.5,23.237911,134,7.5,213,12.222576,515,1245.0,Drama,James Ivory,67,2,69,N
0110971,Renaissance Man,1994,40.0,24.332324,128,5.9,83,4.985157,516,11858.0,Comedy|Drama,Penny Marshall,5,10,15,N
0107978,RoboCop 3,1993,22.0,10.69621,104,4.2,309,8.685798,519,5550.0,Action|Drama|Sci-Fi|Thriller,Fred Dekker,52,4,56,0108909|0220008|3034552|0093870|0100502
0107977,Robin Hood: Men in Tights,1993,20.0,35.739755,104,6.4,575,17.136672,520,8005.0,Comedy,Mel Brooks,76,33,109,0072585|0072585
0107983,Romeo Is Bleeding,1993,11.5,3.275585,100,5.7,36,9.796318,521,2088.0,Thriller,Peter Medak,12,2,14,N
0108000,Ruby in Paradise,1993,0.8,1.001437,114,5.6,10,0.941994,523,47889.0,Drama,Victor Nunez,7,1,8,N
0108002,Rudy,1993,12.0,22.750363,114,7.2,187,5.914833,524,14534.0,Drama,David Anspaugh,120,1,121,N
0108052,Schindler's List,1993,22.0,321.365567,195,8.3,4436,41.725123,527,424.0,Drama,Steven Spielberg,440,3,443,N
0111127,Serial Mom,1994,13.0,7.820688,95,6.4,137,5.305311,532,11592.0,Comedy|Horror,John Waters,33,294,327,N
0111143,The Shadow,1994,25.0,48.063435,108,5.4,140,7.881107,533,8850.0,Action|Adventure|Fantasy,Russell Mulcahy,25,4,29,N
0108160,Sleepless in Seattle,1993,21.0,227.7998839999,105,6.5,630,10.234919,539,858.0,Comedy|Drama,Nora Ephron,256,14,270,N
0108162,Sliver,1993,40.0,116.3,108,4.9,144,11.23297,540,867.0,Thriller,Phillip Noyce,24,5,29,N
0083658,Blade Runner,1982,28.0,33.139618,117,7.9,3833,96.272374,541,78.0,Action|Sci-Fi|Thriller,Ridley Scott,862,18,880,1856101|7326248|7387408|7428594
0108174,So I Married an Axe Murderer,1993,20.0,11.585483,93,6.1,131,8.051914,543,10442.0,Comedy|Thriller,Thomas Schlamme,28,16,44,N
0108255,Super Mario Bros.,1993,48.0,20.915465,104,4.0,236,7.198455,546,9607.0,Action|Adventure|Comedy|Fantasy|Sci-Fi,Annabel Jankel,197,10,207,N
0111323,Surviving the Game,1994,7.4,7.6900129999999995,96,6.1,53,3.644641,547,17585.0,Action|Adventure|Thriller,Ernest R. Dickerson,14,0,14,N
0111400,Terminal Velocity,1994,50.0,16.4789,102,5.0,82,8.012225,548,9057.0,Action|Thriller,Deran Sarafian,6,2,8,N
0107688,The Nightmare Before Christmas,1993,18.0,75.634409,76,7.6,2135,17.730913,551,9479.0,Animation|Fantasy|Musical,Henry Selick,397,24,421,1002748|1324170
0108333,The Three Musketeers,1993,30.0,53.898845,105,6.2,219,6.34785,552,10057.0,Action|Adventure|Comedy,Stephen Herek,36,1,37,N
0108358,Tombstone,1993,25.0,56.505065,130,7.4,632,11.338194,553,11969.0,Action|Drama|Western,George P. Cosmatos,115,1,116,N
0108399,True Romance,1993,12.5,12.281551,120,7.5,762,17.189328,555,319.0,Thriller,Tony Scott,158,56,214,0359715
