imdb_id,title,year,budget,actual_budget,revenue,actual_revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
489037,Who Killed the Electric Car?,2006,1.0,1.38,1.68,2.32,92,7.2,59,8.570312,45928,13508.0,Documentary,Chris Paine,8,6,14,1413496|0489037,0.0224289985336478,-0.0089278369838122
497116,An Inconvenient Truth,2006,1.0,1.38,46.24,63.81,100,6.7,257,6.684925,45950,1781.0,Documentary,Davis Guggenheim,127,2,129,6322922|0497116,0.0200069623099672,0.0036036676323401
463985,The Fast and the Furious: Tokyo Drift,2006,85.0,117.3,158.47,218.69,104,6.1,1749,2.238808,46335,9615.0,Action|Drama|Thriller,Justin Lin,131,7,138,1013752|1538503|1596343|1905041|2820852|4630562|5433138|5433140|0232500|0322259|2055789|0463985,0.0030149228332342,-0.0056524840049212
348150,Superman Returns,2006,270.0,372.6,391.08,539.69,154,5.4,1429,13.284712,46530,1452.0,Action|Adventure|Sci-Fi,Bryan Singer,173,12,185,0078346|0081573|0086393|0094074|0348150,0.0098678884311539,0.0168018624012455
449059,Little Miss Sunshine,2006,8.0,11.04,100.52,138.72,102,7.5,1728,5.320117,46578,773.0,Adventure|Comedy|Drama,Jonathan Dayton,113,11,124,0449059,-0.0171162472584117,0.0092096700262937
85384,Curse of the Pink Panther,1983,11.0,30.8,4.49,12.57,109,3.6,42,8.046375,46604,36576.0,Comedy,Blake Edwards,6,21,27,0108187|0057413|0058586|0063135|0072081|0075066|0078163|0084814|0085384,0.0247945188237765,0.0093249911260669
449467,Babel,2006,25.0,34.5,135.33,186.76,143,6.9,1083,12.60853,46723,1164.0,Drama|Thriller,Alejandro González Iñárritu,30,4,34,0449467,-0.0057200264691667,-0.0130224461844213
79758,Prophecy,1979,12.0,46.08,54.0,207.36,102,5.4,25,3.579175,46788,31915.0,Horror|Sci-Fi,John Frankenheimer,9,0,9,0079758,0.020692508107115,-0.0034110247284671
430304,Little Man,2006,64.0,88.32,101.6,140.21,98,5.3,269,7.067602,46865,9072.0,Comedy,Keenen Ivory Wayans,12,13,25,0046739|0430304,0.0186190606800322,-0.016757248615379
385880,Monster House,2006,75.0,103.5,140.18,193.45,91,6.3,912,15.402378,46948,9297.0,Animation|Fantasy,Gil Kenan,49,10,59,0385880,-0.0077879854028863,0.0218316564493946
417148,Snakes on a Plane,2006,33.0,45.54,62.02,85.59,105,5.1,504,7.418574,46965,326.0,Action|Comedy|Horror|Thriller,David R. Ellis,206,3,209,0417148,0.009144824697629,0.0015159908096641
457513,Scoop,2006,4.0,5.52,31.58,43.58,96,6.4,435,8.16339,46967,512.0,Comedy|Fantasy,Woody Allen,8,2,10,0457513,-0.0177069781772052,0.0124859120458531
415306,Talladega Nights: The Ballad of Ricky Bobby,2006,72.5,100.05,162.97,224.9,116,6.2,497,6.936688,46970,9718.0,Action|Comedy,Adam McKay,90,14,104,0415306,-0.0066392822492562,0.0118918571362576
477347,Night at the Museum,2006,110.0,151.8,574.48,792.78,108,6.4,2949,16.661966,46972,1593.0,Action|Comedy|Fantasy,Shawn Levy,104,20,124,1078912|2692250|3957098|0477347,-0.007681108913249,0.0153727601459883
469641,World Trade Center,2006,63.0,86.94,162.95,224.87,128,5.9,461,13.332102,46974,1852.0,Drama,Oliver Stone,24,10,34,0469641,0.0226248784859137,-0.005793147117281
420223,Stranger Than Fiction,2006,30.0,41.4,53.65,74.04,113,7.1,743,10.798092,46976,1262.0,Comedy|Drama|Fantasy,Marc Forster,18,11,29,0420223,-0.0217501752286726,-0.001873961695146
38213,The Valley of Decision,1945,2.16,33.5,9.13,141.61,119,5.8,4,0.230534,46979,43610.0,Drama,Tay Garnett,0,0,0,0038213,0.0109639359290377,0.0216217027884841
430357,Miami Vice,2006,135.0,186.3,163.79,226.03,134,5.7,494,11.72545,47044,82.0,Action|Drama|Thriller,Michael Mann,43,4,47,0086759|0430357,0.0042924907336103,-0.0048005833006344
454921,The Pursuit of Happyness,2006,55.0,75.9,307.08,423.77,117,7.7,2607,20.981716,47099,1402.0,Drama,Gabriele Muccino,54,9,63,0454921,-0.0245951509214316,-0.0063666176060401
455967,John Tucker Must Die,2006,18.0,24.84,41.01,56.59,87,5.9,375,7.810301,47122,9293.0,Comedy,Betty Thomas,11,4,15,0455967,0.0166957722675805,0.0151503695567755
429589,The Ant Bully,2006,50.0,69.0,55.18,76.15,88,5.5,375,7.000272,47124,9906.0,Adventure|Animation|Comedy|Fantasy,John A. Davis,10,7,17,0429589,-0.0096433423365733,0.0195559924643434
421229,Mrs Palfrey at The Claremont,2005,0.75,1.07,1.72,2.46,108,6.8,10,2.6982,47148,47880.0,Comedy|Drama,Dan Ireland,0,6,6,0675263|0421229,-0.020146874614536,0.0038160712011294
479884,Crank,2006,12.0,16.56,42.93,59.24,88,6.6,1172,12.627593,47200,1948.0,Action|Thriller,Brian Taylor,46,10,56,1121931|0042369|0479884,0.0094160159402906,-0.0030132312260284
1701210,Black Gold,2011,40.0,49.6,5.45,6.76,130,5.9,77,6.652197,102174,77221.0,Adventure|Drama,Jean-Jacques Annaud,4,0,4,1701210,-0.011234856833458,-0.0001216917930745
402910,Chaos,2005,20.0,28.6,0.01,0.01,106,6.1,278,9.51795,47254,5289.0,Action|Drama|Thriller,Tony Giglio,1,2,3,0402910,0.0020553477628758,-0.0029530177518627
414853,Barnyard,2006,51.0,70.38,72.78,100.44,90,5.3,230,6.984949,47264,9907.0,Animation|Comedy,Steve Oedekerk,11,8,19,0857277|0414853,-0.0172090631303921,0.0160987081835436
